Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
1,6,Prepare and sow outdoor seedbeds manually,1,Unit,Internal,5,Production Horticulture,Registered,Current
2,1,Observe safety precautions when using pesticides,1,Unit,Internal,1,Pest Control,Expired,Current
3,3,Demonstrate understanding of the nature and requirements of an agricultural career,1,Unit,Internal,2,General Agriculture,Expired,Current
4,6,Maintain hand tools and service small engines used in a primary industry operation,2,Unit,Internal,5,Primary Sector Core Skills,Registered,Current
5,3,Check and drive a basic wheel tractor,2,Unit,Internal,2,Agricultural Vehicles and Machinery,Expired,Current
6,2,Check and ride farm motorcycles and ATVs (all terrain vehicles),2,Unit,Internal,3,Land Skills,Expired,Current
7,1,Apply pesticides by non-motorised applicators,2,Unit,Internal,3,Pest Control,Expired,Current
8,1,Identify and control weeds,2,Unit,Internal,2,Pest Control,Expired,Current
9,3,Maintain and assist in laying agricultural/horticultural drains,1,Unit,Internal,2,Agricultural Resource Maintenance,Expired,Current
11,3,Repair non-electric fences,2,Unit,Internal,3,Fencing,Expired,Current
12,5,Handle wire,2,Unit,Internal,2,Fencing,Expired,Current
13,2,Demonstrate knowledge of chainsaws,2,Unit,Internal,3,Land Skills,Expired,Current
14,5,Demonstrate knowledge of soil properties,2,Unit,Internal,4,Production Horticulture,Expired,Current
15,7,"Describe the end use of crops and factors which affect crop yields, and interpret seed quality",2,Unit,Internal,2,Farming Skills,Expired,Current
16,6,"Describe pasture plants and production, and ways to optimise pasture growth and utilisation",3,Unit,Internal,5,Farming Skills,Expired,Current
17,3,Perform elementary beekeeping practices,2,Unit,Internal,2,Apiculture,Expired,Current
18,7,Demonstrate knowledge of animal anatomy and physiology,3,Unit,Internal,4,Farming Skills,Registered,Current
19,5,Make minor repairs of horticultural property structures,2,Unit,Internal,3,Production Horticulture,Expired,Current
20,1,"Demonstrate knowledge of plant pests, diseases, disorders and their control",2,Unit,Internal,1,Pest Control,Expired,Current
21,5,Maintain agricultural and horticultural property structures,3,Unit,Internal,3,Production Horticulture,Expired,Current
22,3,Service and repair agricultural and/or horticultural machinery,2,Unit,Internal,3,Agricultural Vehicles and Machinery,Expired,Current
23,2,Drive wheel tractors and implements,3,Unit,Internal,4,Land Skills,Expired,Current
24,3,Drive crawler tractors and implements in open conditions,3,Unit,Internal,3,Agricultural Vehicles and Machinery,Expired,Current
26,3,Apply fertilisers using tractor mounted or trailed equipment,3,Unit,Internal,3,Agricultural Vehicles and Machinery,Expired,Current
27,5,Cultivate by tractor mounted implements,3,Unit,Internal,6,Production Horticulture,Expired,Current
28,1,"Identify plant pests, diseases and disorders",3,Unit,Internal,2,Pest Control,Expired,Current
29,1,Apply pesticides by motorised applicators,3,Unit,Internal,3,Pest Control,Expired,Current
30,6,Demonstrate knowledge of agricultural/horticultural property water systems,3,Unit,Internal,3,Agricultural Resource Maintenance,Expired,Current
31,7,"Connect up, and perform repairs and maintenance on an on-farm water supply system",2,Unit,Internal,2,Agricultural Resource Maintenance,Expired,Current
32,3,Monitor and interpret weather information,2,Unit,Internal,3,General Agriculture,Expired,Current
33,5,Explain properties of soil,3,Unit,Internal,4,Production Horticulture,Expired,Current
34,5,Demonstrate knowledge of the modification of soils,3,Unit,Internal,3,Production Horticulture,Expired,Current
35,5,Demonstrate knowledge of fertilisers,3,Unit,Internal,3,Production Horticulture,Expired,Current
36,6,Select fencing support materials,3,Unit,Internal,4,Fencing,Registered,Current
37,6,Install fencing wire,3,Unit,Internal,6,Fencing,Registered,Current
38,5,Install posts and battens for fencing,3,Unit,Internal,4,Fencing,Expired,Current
39,6,Install fence netting,3,Unit,Internal,8,Fencing,Registered,Current
40,3,"Construct wooden diagonal stay end assemblies, strainer with breast plate assembly and angle posts",4,Unit,Internal,5,Fencing,Expired,Current
41,5,Install wooden horizontal and tie back assemblies,4,Unit,Internal,5,Fencing,Expired,Current
42,5,Construct and install rails and gates,3,Unit,Internal,3,Fencing,Expired,Current
43,10,Maintain a chainsaw,3,Unit,Internal,10,Forest Operations,Registered,Current
44,6,Establish and maintain shelter,2,Unit,Internal,5,Production Horticulture,Expired,Current
45,3,Demonstrate knowledge of pasture production methods,3,Unit,Internal,3,Farming Skills,Expired,Current
46,3,Undertake general beekeeping tasks,3,Unit,Internal,4,Apiculture,Expired,Current
47,3,Harvest honey,3,Unit,Internal,3,Apiculture,Expired,Current
49,3,Install agricultural/horticultural drainage systems,3,Unit,Internal,3,Agricultural Resource Maintenance,Expired,Current
50,6,Prepare seedbeds and sow crops on a field scale,4,Unit,Internal,10,Production Horticulture,Expired,Current
51,3,Demonstrate knowledge of soil and water conservation in primary production,3,Unit,Internal,4,General Agriculture,Expired,Current
52,1,Control weeds,4,Unit,Internal,3,Pest Control,Expired,Current
53,1,Calibrate agricultural/horticultural equipment,3,Unit,Internal,3,Land Skills,Expired,Current
54,3,Manipulate hives in spring and autumn,4,Unit,Internal,6,Apiculture,Expired,Current
55,3,Control pests and diseases in the hive,3,Unit,Internal,4,Apiculture,Expired,Current
56,10,Respond orally to customer enquiries,1,Unit,Internal,2,Work and Study Skills,Registered,Current
57,10,Provide customer service,2,Unit,Internal,2,Service Delivery,Registered,Current
58,7,Process simple sales transactions in a retail or distribution environment in accordance with organisational procedures,1,Unit,Internal,2,Sales Transactions,Expired,Current
59,2,Sell goods and services,3,Unit,Internal,3,Selling Skills,Expired,Current
60,2,Complete a complex sales transaction,3,Unit,Internal,3,Selling Skills,Expired,Current
61,11,Sell products using a customer-focused business relationship,4,Unit,Internal,6,Sales,Registered,Current
62,10,Maintain personal presentation and a positive attitude in a workplace involving customer contact,2,Unit,Internal,3,Service Delivery,Registered,Current
63,7,Promote goods and/or services over the telephone,3,Unit,Internal,3,Merchandising and Marketing,Registered,Current
64,11,Perform calculations for a specified workplace,1,Unit,Internal,2,Work and Study Skills,Registered,Current
65,5,Produce a promotion plan for a given product and/or service,4,Unit,Internal,4,Sales Promotion,Expired,Current
66,5,Produce a final draft for a sales promotion leaflet and/or brochure in a given situation,3,Unit,Internal,4,Sales Promotion,Expired,Current
67,8,Produce and distribute promotional materials in a retail or distribution environment,4,Unit,Internal,4,Merchandising and Marketing,Registered,Current
68,8,Produce and implement a public relations plan,4,Unit,Internal,4,Retail and Distribution Management,Expired,Current
69,1,Shampoo the hair and scalp,1,Unit,Internal,4,Hairdressing,Expired,Current
70,1,Identify and maintain the tools of trade,1,Unit,Internal,2,Hairdressing,Expired,Current
71,1,Neutralise a permanent wave,1,Unit,Internal,8,Hairdressing,Expired,Current
72,1,Apply treatments to the hair and scalp,1,Unit,Internal,2,Hairdressing,Expired,Current
73,1,Blow dry the hair into simple styles,2,Unit,Internal,10,Hairdressing,Expired,Current
74,1,Set the hair for simple styles,2,Unit,Internal,10,Hairdressing,Expired,Current
75,1,Mould and finger wave the hair,2,Unit,Internal,6,Hairdressing,Expired,Current
76,1,Demonstrate knowledge of hairdressing trichology,2,Unit,Internal,8,Hairdressing,Expired,Current
77,1,Select and apply temporary hair colour,2,Unit,Internal,1,Hairdressing,Expired,Current
78,1,Select and apply semipermanent hair colour,2,Unit,Internal,8,Hairdressing,Expired,Current
79,1,Dress long hair into simple styles,2,Unit,Internal,1,Hairdressing,Expired,Current
80,1,Remove unwanted additives from the hair,3,Unit,Internal,4,Hairdressing,Expired,Current
81,1,Select treatments for the hair and scalp,3,Unit,Internal,1,Hairdressing,Expired,Current
