student_id,standard_number,score
1,3503,4
1,9677,4
1,9681,4
1,32403,4
1,32405,4
1,32406,4
1,91920,8
1,91921,8
1,91922,8
1,91923,8
1,92020,8
1,92021,8
1,92022,8
1,92023,8
1,92044,8
1,92045,8
1,92046,8
1,92047,8
1,91925,8
1,92001,8
1,92004,8
1,92003,8
1,92006,8
1,92030,8
1,92031,8
1,92002,8
1,92005,8
1,92007,8
1,92000,8
1,91927,8
1,91924,8
2,3503,3
2,9677,2
2,9681,3
2,32403,2
2,32405,4
2,32406,4
2,91920,4
2,91921,2
2,91922,4
2,91923,3
2,92020,1
2,92021,1
2,92022,3
2,92023,6
2,92044,4
2,92045,3
2,92046,4
2,92047,3
2,92031,4
2,91926,4
2,92030,6
2,92004,4
2,92006,8
2,91925,7
2,91927,4
2,92005,2
2,92007,7
2,92003,4
2,91924,7
2,92002,6
2,92001,6
3,3503,3
3,9677,4
3,9681,4
3,32403,4
3,32405,4
3,32406,4
3,92000,4
3,92001,5
3,92002,5
3,92003,4
3,92044,1
3,92045,3
3,92029,3
3,91927,3
3,91920,3
3,92007,5
3,92023,3
3,92021,3
3,91922,3
3,91921,2
3,92004,4
3,92047,5
3,91926,5
3,92020,6
3,91925,1
3,92022,6
3,91923,4
3,91924,5
3,92030,5
3,92006,5
3,92031,0
4,3503,4
4,9677,3
4,9681,4
4,32403,2
4,32405,3
4,32406,3
4,92028,6
4,92029,3
4,92030,4
4,92031,2
4,92007,0
4,92001,0
4,92005,3
4,91924,5
4,92021,4
4,92004,1
4,91923,6
4,92046,5
4,92020,2
4,92023,8
4,91921,3
4,92022,5
4,92047,2
4,92000,5
4,91922,6
4,92003,8
4,91926,4
4,91925,4
4,92045,5
4,91920,3
4,92044,3
5,3503,2
5,9677,0
5,9681,3
5,32403,4
5,32405,3
5,32406,3
5,92000,3
5,92001,3
5,92002,3
5,92003,7
5,91924,0
5,92044,4
5,92022,4
5,91925,3
5,91923,0
5,92029,6
5,91921,5
5,91920,6
5,92006,3
5,92020,6
5,91927,3
5,92030,7
5,92021,2
5,92004,3
5,92005,4
5,91926,3
5,92023,5
5,92046,6
5,92028,5
5,92007,6
5,92031,7
6,3503,4
6,9677,3
6,9681,2
6,32403,0
6,32405,3
6,32406,4
6,91920,2
6,91921,3
6,91922,5
6,91923,4
6,92020,0
6,92021,5
6,92022,6
6,92023,3
6,92044,4
6,92045,4
6,92046,2
6,92047,7
6,92030,6
6,92000,6
6,91926,2
6,92005,4
6,92028,5
6,92001,4
6,92031,2
6,91927,7
6,92004,0
6,91924,1
6,92007,8
6,92002,4
6,91925,7
7,3503,4
7,9677,0
7,9681,4
7,32403,3
7,32405,4
7,32406,2
7,91924,6
7,91925,4
7,91926,6
7,91927,5
7,92031,8
7,92004,2
7,92001,3
7,92002,2
7,92021,4
7,92045,5
7,92023,6
7,92046,5
7,91923,6
7,91920,2
7,92029,6
7,92005,2
7,91921,3
7,92044,6
7,92006,5
7,92020,6
7,92030,5
7,92003,4
7,92022,5
7,92007,1
7,92000,0
8,3503,4
8,9677,4
8,9681,3
8,32403,0
8,32405,2
8,32406,3
8,92004,0
8,92005,3
8,92006,3
8,92007,3
8,91921,5
8,91922,8
8,92030,2
8,91920,4
8,92046,5
8,92002,3
8,92047,5
8,92031,6
8,91924,1
8,92028,3
8,92044,5
8,92045,5
8,92021,5
8,91926,5
8,92023,1
8,92029,0
8,92003,6
8,91927,4
8,92000,4
8,92001,8
8,91923,5
9,3503,4
9,9677,4
9,9681,4
9,32403,4
9,32405,4
9,32406,4
9,91920,4
9,91921,7
9,91922,5
9,91923,3
9,92020,0
9,92021,7
9,92022,2
9,92023,4
9,92044,5
9,92045,0
9,92046,5
9,92047,4
9,92004,5
9,92002,7
9,92028,3
9,92006,5
9,92030,6
9,92029,4
9,91927,1
9,92003,3
9,92001,1
9,92007,5
9,91924,5
9,91926,4
9,91925,4
10,3503,4
10,9677,1
10,9681,2
10,32403,3
10,32405,4
10,32406,3
10,91920,4
10,91921,4
10,91922,4
10,91923,3
10,92020,4
10,92021,3
10,92022,3
10,92023,2
10,92044,3
10,92045,4
10,92046,3
10,92047,7
10,91926,4
10,91924,3
10,92030,1
10,92029,3
10,91925,7
10,91927,8
10,92000,3
10,92006,5
10,92004,4
10,92028,3
10,92003,5
10,92005,5
10,92001,4
11,3503,0
11,9677,3
11,9681,2
11,32403,1
11,32405,3
11,32406,4
11,92004,4
11,92005,1
11,92006,6
11,92007,4
11,92045,5
11,92044,4
11,91927,6
11,92029,4
11,91926,1
11,92002,3
11,91922,3
11,92030,4
11,91924,4
11,91925,6
11,91923,1
11,92028,3
11,91921,4
11,92046,5
11,92003,7
11,91920,8
11,92020,2
11,92021,1
11,92031,5
11,92022,4
11,92000,6
12,3503,4
12,9677,4
12,9681,3
12,32403,3
12,32405,4
12,32406,4
12,91920,5
12,91921,5
12,91922,3
12,91923,6
12,92020,4
12,92021,5
12,92022,2
12,92023,3
12,92044,5
12,92045,6
12,92046,5
12,92047,1
12,91927,8
12,92000,7
12,92005,5
12,92004,2
12,92031,6
12,92006,8
12,92001,7
12,92007,3
12,92028,3
12,91925,1
12,92029,4
12,91924,4
12,91926,4
13,3503,4
13,9677,4
13,9681,4
13,32403,2
13,32405,4
13,32406,3
13,91920,5
13,91921,3
13,91922,7
13,91923,6
13,92020,6
13,92021,3
13,92022,2
13,92023,0
13,92044,8
13,92045,4
13,92046,5
13,92047,5
13,92001,5
13,92031,5
13,92030,3
13,92003,4
13,91927,6
13,92028,6
13,92007,3
13,91924,2
13,92002,3
13,92000,6
13,91925,1
13,92004,5
13,92029,6
14,3503,3
14,9677,2
14,9681,4
14,32403,4
14,32405,4
14,32406,3
14,92028,1
14,92029,7
14,92030,4
14,92031,5
14,92003,3
14,92044,2
14,91921,4
14,92001,8
14,92002,5
14,92047,4
14,92007,3
14,92004,5
14,92023,4
14,91927,3
14,92006,7
14,91922,6
14,91925,5
14,92022,4
14,91923,6
14,92045,3
14,92021,3
14,92020,3
14,91926,4
14,91924,5
14,92046,2
15,3503,4
15,9677,4
15,9681,4
15,32403,3
15,32405,4
15,32406,0
15,92004,6
15,92005,2
15,92006,2
15,92007,4
15,92047,5
15,92003,2
15,92029,3
15,91921,4
15,91922,6
15,92000,4
15,92031,1
15,92030,4
15,91920,3
15,91927,5
15,92002,6
15,91926,4
15,92022,6
15,91923,4
15,91925,8
15,92020,4
15,92045,2
15,92023,8
15,92028,5
15,92046,2
15,92021,0
16,3503,4
16,9677,3
16,9681,3
16,32403,1
16,32405,3
16,32406,2
16,92000,1
16,92001,6
16,92002,4
16,92003,6
16,91922,6
16,92046,7
16,91927,4
16,92006,7
16,91921,5
16,92045,3
16,92021,0
16,92020,2
16,92029,4
16,92023,1
16,91923,3
16,92030,6
16,91926,7
16,92004,5
16,92031,0
16,91925,3
16,92022,6
16,91924,3
16,92005,5
16,92028,0
16,91920,1
17,3503,3
17,9677,3
17,9681,3
17,32403,3
17,32405,4
17,32406,4
17,91920,3
17,91921,5
17,91922,5
17,91923,1
17,92020,0
17,92021,5
17,92022,7
17,92023,2
17,92044,6
17,92045,3
17,92046,7
17,92047,4
17,92031,6
17,92029,8
17,92000,6
17,92005,6
17,91926,5
17,91925,2
17,92004,3
17,92001,4
17,92003,5
17,92007,1
17,91924,8
17,92028,3
17,92002,3
18,3503,4
18,9677,3
18,9681,4
18,32403,4
18,32405,3
18,32406,3
18,92004,4
18,92005,6
18,92006,3
18,92007,0
18,92029,4
18,91927,3
18,91924,0
18,91920,0
18,92047,8
18,92022,5
18,92028,3
18,92023,8
18,91926,2
18,92045,3
18,92046,5
18,92044,3
18,92003,8
18,91922,4
18,91925,3
18,92002,2
18,92000,5
18,92020,4
18,92021,4
18,92030,6
18,92031,3
19,3503,4
19,9677,4
19,9681,1
19,32403,4
19,32405,4
19,32406,4
19,92028,7
19,92029,6
19,92030,5
19,92031,6
19,92004,6
19,91925,3
19,92023,8
19,92045,4
19,91923,4
19,92002,2
19,92005,2
19,91924,3
19,92020,2
19,92047,5
19,92007,5
19,92044,7
19,92022,5
19,91921,4
19,91920,3
19,92046,3
19,92006,3
19,92001,4
19,92003,4
19,91922,4
19,92021,0
20,3503,0
20,9677,4
20,9681,2
20,32403,3
20,32405,4
20,32406,4
20,91920,4
20,91921,7
20,91922,4
20,91923,8
20,92020,0
20,92021,3
20,92022,4
20,92023,8
20,92044,2
20,92045,0
20,92046,6
20,92047,3
20,92029,3
20,92031,0
20,92006,6
20,92001,7
20,91927,3
20,92007,4
20,92000,3
20,91926,5
20,92028,3
20,92005,0
20,91924,1
20,92003,5
20,92004,6
